name,chi2_reduced,chi2_reduced_default,improvement,ML_disk,ML_bulge,gas_factor,h_scale,n_points,max_radius,has_bulge
NGC5371,,,,,,,,,,
UGC07603,,,,,,,,,,
NGC4138,,,,,,,,,,
UGC12632,,,,,,,,,,
NGC5033,80.40485768278019,124.99269186404885,1.5545415471933328,0.3,0.3,1.25,490.5899056792259,22.0,44.59,True
UGC02023,,,,,,,,,,
UGC09133,203.04248191032167,320.75105624179713,1.5797238746493658,0.3,0.3,1.25,490.5899056792259,68.0,108.31,True
UGCA442,,,,,,,,,,
UGC04305,,,,,,,,,,
NGC2841,42.207505863351244,71.37732128434187,1.6911049308487751,1.0,0.9,1.25,100.0,50.0,63.64,True
NGC2955,43.357154497533706,203.01845127371612,4.682467141271101,0.3,0.3,1.25,561.5015459060669,24.0,35.43,True
NGC4157,20.980204119003407,44.01958020827652,2.0981483287097555,0.3,0.3,1.25,575.9791204172188,17.0,29.61,True
NGC4183,,,,,,,,,,
UGC07125,,,,,,,,,,
UGC03205,10.81581152949782,61.25469816725052,5.663439863036758,0.3703745750320411,0.3,1.25,240.34818128758215,48.0,40.04,True
F583-1,,,,,,,,,,
NGC4068,,,,,,,,,,
UGC02885,29.040956483473213,46.67174783315692,1.607100918308842,0.3,0.9,1.25,291.9432306289673,19.0,74.07,True
D564-8,,,,,,,,,,
NGC4013,76.61690390875384,84.2352287407379,1.0994339948930463,0.3954888500828938,0.8999105157636093,1.25,243.8546649353027,36.0,31.01,True
UGC07323,,,,,,,,,,
NGC3953,,,,,,,,,,
NGC4559,,,,,,,,,,
NGC6015,,,,,,,,,,
UGC05253,56.23837028578456,263.38882125226525,4.683436236039762,0.3,0.3,1.25,600.0,73.0,53.29,True
UGC12506,,,,,,,,,,
NGC2998,,,,,,,,,,
UGC00731,,,,,,,,,,
F583-4,,,,,,,,,,
UGC06614,293.2755371306405,389.13094337749413,1.3268441929548136,0.3,0.3,1.25,476.4668306708336,13.0,64.59,True
NGC0024,,,,,,,,,,
DDO168,,,,,,,,,,
UGC05750,,,,,,,,,,
UGC05005,,,,,,,,,,
NGC3893,,,,,,,,,,
UGC12732,,,,,,,,,,
UGC06818,,,,,,,,,,
IC4202,140.6989504692684,426.70217036311317,3.032731722162447,0.3,0.3,1.25,100.0,32.0,25.9,True
UGC00128,,,,,,,,,,
D631-7,,,,,,,,,,
F568-V1,,,,,,,,,,
UGC06667,,,,,,,,,,
UGC05918,,,,,,,,,,
UGC02487,94.27553783792717,104.54003820874027,1.108877664410244,1.0,0.9,1.25,339.7085666656494,17.0,80.38,True
UGC05999,,,,,,,,,,
F568-1,,,,,,,,,,
NGC2976,,,,,,,,,,
NGC3917,,,,,,,,,,
F571-V1,,,,,,,,,,
NGC3972,,,,,,,,,,
NGC0801,,,,,,,,,,
NGC6946,15.986061111426302,53.27660324134525,3.3326910781834127,0.3,0.40196942217873105,1.25,543.9607663213212,58.0,20.4,True
F563-V2,,,,,,,,,,
UGC02953,19.562428346530126,138.54291999945215,7.0820921383221895,0.3,0.3,1.25,600.0,115.0,62.39,True
F567-2,,,,,,,,,,
NGC7331,,,,,,,,,,
NGC5907,,,,,,,,,,
NGC3726,,,,,,,,,,
NGC3198,,,,,,,,,,
NGC0891,7.922338196519934,65.33093602978443,8.246420994559726,0.3,0.3,1.25,600.0,18.0,17.11,True
NGC0100,,,,,,,,,,
NGC4217,489.6218104701845,1335.453586459978,2.7275206249034127,0.3,0.3,1.25,364.83479373157024,19.0,16.72,True
UGC09992,,,,,,,,,,
UGC06786,6.658469538493801,50.424692316765295,7.573015394190985,0.41731681969863554,0.3,1.25,564.7360634403444,45.0,34.05,True
UGC06917,,,,,,,,,,
ESO563-G021,,,,,,,,,,
NGC4100,,,,,,,,,,
NGC3877,,,,,,,,,,
UGC00191,,,,,,,,,,
NGC3741,,,,,,,,,,
NGC0247,,,,,,,,,,
F563-1,,,,,,,,,,
F574-2,,,,,,,,,,
UGC06399,,,,,,,,,,
UGC11820,,,,,,,,,,
F568-3,,,,,,,,,,
UGC07524,,,,,,,,,,
UGC02259,,,,,,,,,,
UGC05721,,,,,,,,,,
UGC05716,,,,,,,,,,
UGC07151,,,,,,,,,,
UGC04483,,,,,,,,,,
NGC1003,,,,,,,,,,
UGC03546,40.450249083047005,65.59516479686593,1.621625732444682,0.30121541168748506,0.9,1.252392093621407,475.4105390261475,30.0,29.23,True
NGC0055,,,,,,,,,,
NGC1090,,,,,,,,,,
UGC06973,20.289801760976268,24.609130113446746,1.2128817424317038,0.4075407289230615,0.7187750069541521,1.4,308.8597831439888,9.0,7.85,True
F574-1,,,,,,,,,,
NGC3769,,,,,,,,,,
NGC2403,,,,,,,,,,
UGC03580,200.1866096423869,635.9208565051919,3.176640323951737,0.3,0.3,1.25,562.1207284927368,47.0,27.06,True
ESO444-G084,,,,,,,,,,
UGC11557,,,,,,,,,,
UGC08490,,,,,,,,,,
UGC01230,,,,,,,,,,
UGC08550,,,,,,,,,,
F561-1,,,,,,,,,,
UGC07559,,,,,,,,,,
NGC4389,,,,,,,,,,
NGC2915,,,,,,,,,,
NGC5055,,,,,,,,,,
UGC07399,,,,,,,,,,
F565-V2,,,,,,,,,,
NGC3992,,,,,,,,,,
NGC6503,,,,,,,,,,
PGC51017,,,,,,,,,,
NGC1705,,,,,,,,,,
ESO079-G014,,,,,,,,,,
F563-V1,,,,,,,,,,
NGC6195,96.26678730760125,267.4922659197793,2.778655789821481,0.3,0.3,1.25,561.5015459060669,23.0,36.43,True
DDO161,,,,,,,,,,
UGC07577,,,,,,,,,,
UGC04499,,,,,,,,,,
NGC5005,2.927931103414892,90.17866516343742,30.799449159941172,0.3,0.3,1.3503612359239852,599.4657649524331,18.0,11.47,True
UGC10310,,,,,,,,,,
NGC0300,,,,,,,,,,
UGC06446,,,,,,,,,,
NGC5985,25.89724774634915,81.04036252276617,3.1293040602814943,1.0,0.9,1.4,100.0,33.0,34.72,True
DDO064,,,,,,,,,,
DDO170,,,,,,,,,,
UGC09037,,,,,,,,,,
