name,chi2,chi2_reduced,n_points,max_radius_kpc,max_velocity,rms_residual,success
NGC5371,275.3464856734007,14.491920298600037,19,46.24,242.0,25.22569243120788,True
UGC07603,573.08202608829,47.7568355073575,12,4.11,64.0,13.82126412559394,True
NGC4138,363.89872432120126,51.9855320458859,7,18.58,195.0,35.83457151015389,True
UGC12632,260.89930866076213,17.393287244050807,15,10.66,73.2,8.7669219393551,True
NGC5033,2174.7430450260845,98.85195659209475,22,44.59,225.0,59.973041551551994,True
UGC02023,167.5388840079039,33.50777680158078,5,3.78,58.8,11.577180451488312,True
UGC09133,17960.36986471866,264.1230862458627,68,108.31,289.0,120.75155679424115,True
UGCA442,538.1586429517054,67.26983036896317,8,6.33,57.8,16.403637446488894,True
UGC04305,1733.5587481529135,78.79812491604152,22,5.52,37.3,17.7536615847032,True
NGC2841,3710.727726694148,74.21455453388296,50,63.64,323.0,79.24734385529632,True
NGC2955,3914.8747870584266,163.1197827941011,24,35.43,276.0,92.73744297147546,True
NGC4157,671.2653912679414,39.48619948634949,17,29.61,201.0,20.903435422132603,True
NGC4183,332.9508945623165,14.4761258505355,23,21.02,115.0,11.637455212463049,True
UGC07125,297.624385849024,22.894183526848,13,18.68,65.6,9.569573350332396,True
UGC03205,2557.9831572199223,53.29131577541505,48,40.04,237.0,35.19060081913652,True
F583-1,1189.7169553049137,47.58867821219655,25,16.26,86.9,15.783124444008367,True
NGC4068,133.43544821419468,22.239241369032445,6,2.33,41.9,9.43170003107233,True
UGC02885,555.5386978631607,29.238878834903193,19,74.07,305.0,47.26867298393248,True
D564-8,23.635970726927784,3.939328454487964,6,3.07,25.0,3.9695483140971914,True
NGC4013,2552.536877520951,70.90380215335975,36,31.01,198.0,45.07969999931568,True
UGC07323,149.34381167090828,14.934381167090828,10,5.82,85.6,7.9273786613312724,True
NGC3953,772.7917329840145,96.59896662300181,8,15.68,224.0,63.03712253378238,True
NGC4559,200.98506307521777,6.280783221100555,32,20.97,124.0,6.445125217435368,True
NGC6015,1456.1298480627445,33.093860183244196,44,29.23,166.0,24.99188632160909,True
UGC05253,16793.828689816233,230.05244780570183,73,53.29,248.0,109.13738244172525,True
UGC12506,3082.0372924970193,99.4205578224845,31,49.99,255.0,67.2666662591042,True
NGC2998,148.30791332566525,11.408301025051173,13,42.28,214.0,21.15117444740805,True
UGC00731,1672.188703771344,139.349058647612,12,10.91,74.0,25.050215407563257,True
F583-4,72.96480476718477,6.0804003972653975,12,7.29,69.9,4.941199568648285,True
UGC06614,4026.764156897531,309.7510889921178,13,64.59,205.0,100.38732939090431,True
NGC0024,2449.8863030028697,84.47883803458171,29,11.27,110.0,26.182250305217714,True
DDO168,334.5569728940603,33.45569728940603,10,4.12,55.0,11.568180027887884,True
UGC05750,403.41820770294436,36.674382518449484,11,22.85,78.9,12.128391668356741,True
UGC05005,410.42942923090055,37.31176629371823,11,28.61,100.0,14.66047742309259,True
NGC3893,655.4623520795833,65.54623520795833,10,19.05,194.0,44.91854095018654,True
UGC12732,863.251291384111,53.95320571150694,16,15.4,98.0,19.11930841314969,True
UGC06818,282.2313168827809,35.27891461034761,8,6.98,74.4,12.081108114281484,True
IC4202,13033.543523292208,407.2982351028815,32,25.9,250.0,58.45048633108037,True
UGC00128,1141.5004087534735,51.88638221606698,22,53.75,134.0,26.736289095196117,True
D631-7,712.40135289488,44.52508455593,16,7.19,58.5,13.345423868267355,True
F568-V1,1524.8899380215312,101.65932920143541,15,17.63,118.0,32.00346863873452,True
UGC06667,1056.4040637361086,117.37822930401207,9,7.85,85.7,25.537154394401565,True
UGC05918,17.1518701175418,2.143983764692725,8,4.46,44.5,2.928469746944793,True
UGC02487,1724.7549362870882,101.45617272276989,17,80.38,383.0,111.7750080912516,True
UGC05999,345.89926881247027,69.17985376249405,5,16.22,100.0,23.095161571013968,True
F568-1,1437.8791962175642,119.82326635146369,12,13.23,142.0,39.1376776215051,True
NGC2976,834.161201063828,30.894859298660297,27,2.27,88.7,11.775937638627472,True
NGC3917,519.8044120656675,30.576730121509854,17,14.86,138.0,18.679068021809798,True
F571-V1,317.43291296445125,45.347558994921606,7,13.59,84.3,15.971580493938594,True
NGC3972,400.9032994517546,40.09032994517546,10,8.72,134.0,21.5041365322269,True
NGC0801,550.0078516925911,42.30829628404547,13,59.82,238.0,25.620145887490626,True
NGC6946,2479.2627747672827,42.745909909780735,58,20.4,181.0,29.065661767983624,True
F563-V2,1157.1190026433992,115.71190026433992,10,10.47,118.0,34.55887325787534,True
UGC02953,13359.708751696679,116.17138044953633,115,62.39,319.0,79.81433664401044,True
F567-2,176.7194298218356,35.34388596436712,5,9.59,52.2,11.89014482071049,True
NGC7331,333.99446106195995,9.277623918387777,36,36.31,257.0,21.7007509689103,True
NGC5907,1188.6052672672936,62.55817196143651,19,50.33,235.0,53.26777421791787,True
NGC3726,246.5701082256341,20.54750901880284,12,32.52,169.0,20.39357298463265,True
NGC3198,1635.8409368450646,38.042812484768945,43,44.08,157.0,18.13176332628828,True
NGC0891,876.5781066592464,48.69878370329147,18,17.11,234.0,44.46572531970946,True
NGC0100,391.7804629748062,18.65621252260982,21,9.62,91.2,9.73082690462729,True
NGC4217,23824.611575898693,1253.9269250472996,19,16.72,191.0,129.5991936142146,True
UGC09992,46.034868893631014,9.206973778726203,5,3.89,34.3,6.068599106458163,True
UGC06786,1987.2859409886964,44.16190979974881,45,34.05,229.0,37.95585877100866,True
UGC06917,495.1451733717581,45.013197579250736,11,10.47,111.0,19.637376200652014,True
ESO563-G021,7566.32439449188,252.21081314972935,30,42.41,321.0,87.6121889346748,True
NGC4100,1577.508460926649,65.72951920527704,24,22.76,195.0,43.78538859658243,True
NGC3877,882.0722069351243,67.8517082257788,13,11.35,171.0,22.66826838742212,True
UGC00191,212.17649721615027,23.575166357350028,9,9.98,83.85,10.897843582326573,True
NGC3741,1667.879050546045,79.42281193076404,21,7.0,51.6,17.823895413827366,True
NGC0247,329.7453239953859,12.682512461360997,26,14.54,108.0,10.463662473735388,True
F563-1,2431.7528183118616,143.04428343010952,17,20.1,112.5,35.541629720730924,True
F574-2,1154.0871058822324,230.8174211764465,5,10.83,40.0,30.38535312787702,True
UGC06399,267.72908394683026,29.74767599409225,9,7.85,87.6,13.129995010914527,True
UGC11820,334.8241971206497,33.482419712064974,10,15.82,84.45,13.715299734946571,True
F568-3,544.6177336172791,30.256540756515506,18,17.98,120.0,14.12024575132647,True
UGC07524,335.7850984486089,10.831777369309965,31,10.69,83.8,7.369006952812838,True
UGC02259,740.4330202881708,92.55412753602135,8,8.14,90.0,23.372446066684404,True
UGC05721,2843.5620577446352,123.63313294541892,23,6.74,82.6,26.1640667154086,True
