name,chi2,chi2_reduced,n_points,max_radius_kpc,max_velocity,rms_residual,max_residual,ML_disk,ML_bulge,gas_factor,h_scale,has_bulge,v_model,v_newton,success
NGC5371,166.04261391905106,8.739084943107951,19,46.24,242.0,18.836534076062815,40.42801713719379,0.5880328900124792,0.7,1.2711425169308717,274.4569127948374,False,"[183.6230238695819, 174.5719828628062, 201.25186616864087, 214.3363937761988, 220.74108779349726, 225.94667651382036, 233.96562732138167, 236.1524787470381, 234.87751463403225, 233.71378920142902, 233.01703686717423, 232.5762377111125, 232.60812063886502, 233.02459296473089, 233.52025975603027, 233.88285225221205, 234.15113758306126, 234.33231322390077, 234.41137486735425]","[184.30515397961258, 176.5561507395753, 203.85718364321423, 217.52508726307488, 224.32439706625289, 229.65751213324347, 237.07612394842437, 236.89133962411722, 230.95144779827913, 222.59279155727606, 212.70049286085842, 201.6630725729517, 191.26891834859418, 181.34518864317428, 172.32004580413425, 164.37990536963, 156.88449085884474, 150.16340366902529, 144.0933689047727]",True
UGC07603,176.12637835571346,14.677198196309455,12,4.11,64.0,7.662166324561078,11.361413001395093,1.0,0.7,1.3682222222222196,100.0,False,"[30.961413001395094, 37.24976180380779, 43.89289325520813, 47.60369876240452, 50.0150337697071, 51.527684100694756, 52.5225608612517, 53.18310979211638, 53.589716668243256, 53.84587309924046, 54.002703249429736, 54.080181290207456]","[29.773709459820427, 32.020605675180654, 36.2290128288289, 36.28679901811054, 35.20573077794147, 33.48538960139494, 31.692519683469506, 29.929019279924816, 28.35495561629325, 26.935147233427873, 25.66310122181219, 24.478326828307573]",True
NGC4138,352.8857060359021,50.41224371941458,7,18.58,195.0,33.41030245536581,48.44096603342541,0.7464471813062027,0.7,1.25,363.65945321505865,False,"[175.00996851551852, 152.68812423952548, 164.15433351527068, 172.99871883834126, 182.07825559980498, 190.37568979878725, 198.4409660334254]","[176.77059280191713, 154.39127423703795, 162.92554122932918, 166.24355106584943, 168.87851602048454, 171.29250887916865, 173.68701145240624]",True
UGC12632,36.11091271577967,2.407394181051978,15,10.66,73.2,3.144222275212476,7.97488997598127,0.8425685804056053,0.7,1.2782120665077565,176.1519858980157,False,"[32.07488997598127, 40.227914493059686, 48.77094371874534, 54.21175290154665, 58.08720882901131, 61.2683831583006, 63.75059511048255, 65.77567863593706, 67.32659551662513, 68.41298917153534, 69.18630831130665, 69.7524004552513, 70.26524253566267, 70.63109625728544, 70.75085126812151]","[22.43678944669488, 24.07895782958543, 28.736244876846598, 30.488260944958153, 31.08931421315457, 31.34951829118603, 31.22935081302085, 30.90640443428341, 30.393935000893425, 29.652726434680023, 28.814586995734658, 27.97559526694776, 27.175818599349956, 26.420693658112985, 25.562589324876992]",True
NGC5033,1768.9068690211643,80.40485768278019,22,44.59,225.0,53.004600485249675,101.80437340978006,0.3,0.3,1.25,490.5899056792259,True,"[199.6943075250884, 223.32676488185382, 230.69302940208908, 226.94231975399043, 224.4140785891284, 223.58707506067515, 224.81372414680789, 228.05436681078177, 232.30657227800327, 236.9771505215304, 242.0455966033255, 247.32131354429185, 252.90312372034876, 258.1413864038123, 263.35372630317806, 268.7677428002404, 273.81267814700976, 278.7301502309767, 283.8122678304271, 288.5193637331164, 293.091239863178, 297.80437340978006]","[199.87588559099353, 224.24225731412992, 232.5362718666739, 229.78635631430146, 227.92208802186872, 227.2721666054927, 228.0139792544402, 229.82776161170702, 231.83108837132895, 233.84072100471175, 235.91826946542392, 237.96415208097508, 239.9663066205889, 241.7123765816809, 243.36540994895884, 245.01220948766323, 246.48433844532374, 247.86253720434732, 249.23076788316482, 250.44908560398656, 251.58878158282963, 252.71819731144353]",True
UGC02023,99.85376366107036,19.970752732214073,5,3.78,58.8,8.937729629433656,14.622372202593846,0.3,0.7,1.3280555555555558,328.33333333333337,False,"[29.722372202593846, 36.7602779587154, 43.85334145597412, 47.97224659295108, 50.448394348154366]","[18.015125854794125, 18.98164159901576, 21.927811671423505, 22.52682659304971, 22.140873146250136]",True
UGC09133,13806.888769901874,203.04248191032167,68,108.31,289.0,99.88971193383026,214.76166457967423,0.3,0.3,1.25,490.5899056792259,True,"[226.73309600650907, 236.12935537849694, 277.2988438292402, 292.34474727397213, 299.5826950148233, 303.0921903203663, 305.1242942072746, 306.41761757414264, 307.61187364161873, 308.92939767932984, 310.3110830589959, 311.38916585989693, 312.0771873715124, 312.4582037415783, 312.58124339502666, 312.5831267713811, 312.5525606044213, 312.5570765242941, 312.62303446360175, 312.7654207216638, 312.9751388193087, 313.23696906959617, 313.7029281628938, 313.8672515966825, 313.9798503427593, 314.0177458589103, 314.0981413744761, 314.23899967346307, 314.38617496279494, 314.59275572189927, 314.6645669340915, 314.90034595131397, 315.001462907234, 315.11764366342766, 316.14610039875885, 316.35458826666667, 316.5747841501494, 318.53224581749737, 321.13702545771446, 324.20354828849213, 327.52840242904915, 331.11060422375243, 335.0185871758912, 338.9163469379362, 342.918751533315, 347.1689529044622, 351.3290128601734, 355.5093012928972, 359.8753511388746, 364.07352109321204, 368.27481494035464, 372.60534878769636, 376.73691431668914, 380.8464449702674, 384.8986231144354, 389.0644275753394, 393.018186733265, 396.9344829080681, 400.93718777952677, 404.7294633778996, 408.46672492270875, 412.2955253969428, 415.932587827684, 419.5016372856218, 423.15693093089845, 426.627963637906, 433.5187574416209, 443.76166457967423]","[226.75862581765207, 236.21139592892476, 277.41263287847374, 292.51111269880477, 299.8185841370782, 303.40854969125405, 305.5354525473473, 306.930259159667, 308.23685186350355, 309.6681294157214, 311.17191465877676, 312.3783079045382, 313.19701447981316, 313.71931306783904, 313.9847683099879, 314.1379495365001, 314.2567482788052, 314.4169391528281, 314.63416765416673, 314.9323533390718, 315.292042007273, 315.7074960668606, 316.47310321454984, 316.7880891019669, 317.0451791017445, 317.13380189140247, 317.3100050894939, 317.5895817054891, 317.87664451778744, 318.3488122361274, 318.54975616891227, 319.13694908221805, 319.34724937254987, 319.5637400219603, 321.08311961406787, 321.35070435863116, 321.6255436436209, 323.78405251176207, 326.16386011070506, 328.50853590845736, 330.7182417659041, 332.8113432576688, 334.8351823795464, 336.6411679246723, 338.3190906872622, 339.94627053130046, 341.413070072296, 342.78039649191055, 344.1094082517874, 345.303632538245, 346.4245886651306, 347.50940207556476, 348.4835180721212, 349.3982967254896, 350.2508162163865, 351.07850360130675, 351.82108970599813, 352.51793772823436, 353.1924689246874, 353.79790671821814, 354.3637904228739, 354.9125281955229, 355.40595289780356, 355.865648208065, 356.31212994346174, 356.71325242214556, 357.4458506118074, 358.38807714744905]",True
UGCA442,231.97982872722133,28.997478590902666,8,6.33,57.8,10.769861390176322,14.827914855196205,1.0,0.7,1.3682222222222196,100.0,False,"[19.991538224069135, 30.60993954570644, 36.88321260969331, 39.71630754092478, 41.168245862876184, 42.24742245638909, 42.97208514480379, 43.03837201884192]","[10.707385106396435, 14.202617292970125, 15.804276046421068, 15.347574165136544, 14.496416683179135, 13.736203591094549, 12.96265588166756, 12.098213144114217]",True
UGC04305,911.641922396206,41.438269199827545,22,5.52,37.3,12.874512682012869,18.263435321665938,0.3,0.7,1.3280555555555558,328.33333333333337,False,"[17.869329026044337, 23.17498580708271, 29.001824471604802, 33.57932126435658, 37.04158326247113, 39.20556402303104, 40.96369335853277, 42.289403326233305, 43.5466460584825, 44.81191202112863, 45.9474514911727, 46.87760558113433, 47.574062469921095, 48.02206916923658, 48.36343532166594, 48.61447759116361, 48.796068743354674, 48.98639175159907, 49.159984583077744, 49.30075618113635, 49.349839294415986, 49.32378631684365]","[11.507584761015881, 13.366456853779393, 17.184379346986685, 19.964734951416595, 21.54699323717799, 21.963723555055708, 21.965569749141125, 21.76219419475847, 21.652893035235568, 21.67703941438768, 21.663069796109728, 21.525940121845945, 21.202339154511844, 20.792511344383033, 20.320838668220354, 19.80709738623453, 19.345428135080784, 18.89174323180724, 18.49151551222925, 18.103254260012772, 17.68054889258187, 17.236167869836688]",True
NGC2841,2110.375293167562,42.207505863351244,50,63.64,323.0,57.96113441350194,183.05637468266676,1.0,0.9,1.25,100.0,True,"[267.3994737166671, 113.94362531733324, 154.7026727606067, 182.38609207278745, 202.89053333518402, 219.37316565185026, 233.65599214117304, 245.36511255134764, 254.76542353948437, 263.59487161447004, 271.20892665530533, 277.0830818009169, 282.3157606690769, 287.01449083687703, 291.1899117716291, 294.5207700154351, 296.95686766178176, 298.99992159528455, 300.7644089587116, 302.12340848330956, 303.3467743468921, 304.3586866054225, 305.1653214631214, 305.7846672052469, 306.7009886895829, 306.23342821746684, 305.08470693232397, 304.36173729536733, 304.18546094589254, 304.597157098194, 305.62077952541523, 307.120094926697, 309.02251240606904, 311.1083217735257, 313.6464572319351, 316.4106035695474, 319.3313583581005, 322.16922144684526, 325.3161387532873, 328.52784716010103, 331.76536045650124, 334.8058713860787, 338.0907338478504, 341.35854938317675, 344.63133128962414, 347.6531186778642, 350.8701416076714, 354.0746198689065, 357.2476322973275, 360.3712999802489]","[268.58840699942465, 113.1318678982507, 157.23324804968956, 185.21770984500074, 205.73431615848654, 222.2050281344539, 236.492627970407, 248.23074024141508, 257.6750149721083, 266.5618406227814, 274.24570584160705, 280.1953237115372, 285.51393114724357, 290.3073201173829, 294.59027733993383, 298.0363725716983, 300.5828610564257, 302.7419954080127, 304.6299732156924, 306.10097916315766, 307.4371755451704, 308.55578693627905, 309.46622167451875, 310.18879928569424, 311.3867751225232, 311.24840931620577, 310.0406044578712, 308.82157449519235, 307.70713629696905, 306.8874440472484, 306.25593904072736, 305.7883246499278, 305.472514310371, 305.338061941867, 305.3251464158302, 305.4203299698286, 305.59657482124834, 305.8156715620509, 306.09582135831687, 306.4086051625502, 306.7413420242724, 307.0635392115974, 307.4180229506933, 307.7741811775696, 308.13126575328135, 308.4592778615697, 308.80478204064946, 309.14413886383704, 309.47460852920614, 309.79333161501626]",True
